Phytochemical,Plant,CID,SMILES,Database,Target_Name,Gene_Symbol,UniProt_ID,ChEMBL_ID,Target_Class,Target_Key,Probability,P_Value,Max_Tc,Rank
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase VA,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.96,,,4
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase IX,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.95,,,5
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase IV,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.94,,,6
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase XII,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.93,,,7
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase III,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.91,,,8
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase I,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.9,,,9
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase II,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.9,,,10
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Tyrosinase,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.88,,,11
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase VB,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.78,,,12
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Aldose reductase,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.74,,,13
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase XIV,,,,DNN(ECFP4),Homo sapiens,0.97,,,14
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase VII,,,,DNN(ECFP4),Homo sapiens,0.94,,,15
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase VI,,,,DNN(ECFP4),Homo sapiens,0.94,,,16
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase VA,,,,DNN(ECFP4),Homo sapiens,0.94,,,17
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase XII,,,,DNN(ECFP4),Homo sapiens,0.88,,,18
