"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","7/346","60/9522",0.116666666666667,3.2106936416185,3.33553379340676,0.00580527600440674,0.0140373477155737,0.00661170347352623,"7422/207/208/10000/842/5582/4846",7
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","8/346","76/9522",0.105263157894737,2.89686644356556,3.2238305670929,0.00614297618615223,0.0147331542676009,0.00693943394584591,"760/801/111/817/887/1080/5582/6752",8
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","9/346","93/9522",0.0967741935483871,2.66324818198769,3.12981266305585,0.00652892732329471,0.0154082684829755,0.00725741816147286,"2353/3725/4790/6772/3718/3558/5599/5601/3932",9
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","9/346","93/9522",0.0967741935483871,2.66324818198769,3.12981266305585,0.00652892732329471,0.0154082684829755,0.00725741816147286,"3725/4313/1956/801/111/817/5599/5601/4323",9
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","7/346","63/9522",0.111111111111111,3.05780346820809,3.18202938843522,0.00758273218095078,0.0177532221696863,0.00836191017448206,"8644/240/247/239/246/873/4048",7
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","8/346","80/9522",0.1,2.75202312138728,3.05566301913598,0.00833661196564819,0.0193645711013088,0.00912086845806516,"2932/5159/1956/7422/207/208/10000/5582",8
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","11/346","133/9522",0.0827067669172932,2.2761093485158,2.87777390849105,0.00900898829343474,0.0207629027075254,0.00977949387116271,"2033/1017/1956/207/208/10000/5599/5601/5562/5565/10110",11
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","6/346","50/9522",0.12,3.30242774566474,3.16958787723277,0.00909443505095642,0.0207973514731174,0.00979571951633005,"54106/3383/6401/7412/3576/3553",6
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","5/346","37/9522",0.135135135135135,3.71895016403687,3.21762976958842,0.0103115366956708,0.0232786566183978,0.0109644341610295,"4128/4129/4282/7299/7054",5
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","13/346","173/9522",0.0751445086705202,2.06799425306559,2.75271986486807,0.0103373017525766,0.0232786566183978,0.0109644341610295,"2033/4790/6772/7132/1019/3383/207/208/10000/842/834/3576/3553",13
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","7/346","67/9522",0.104477611940299,2.8752480372703,2.9910108184245,0.0105406113265485,0.0235566692525137,0.0110953803437353,"2033/801/817/5582/6197/2890/2891",7
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","6/346","52/9522",0.115384615384615,3.1754112939084,3.05436328568917,0.0109691611144305,0.0243300942011804,0.011459669704035,"8644/240/1545/1588/1543/111",6
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","12/346","156/9522",0.0769230769230769,2.1169408626056,2.7312913645131,0.0113317570824397,0.0249008146178217,0.0117284836023281,"4790/6772/7132/1017/1019/2932/1956/207/208/10000/842/5465",12
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","7/346","68/9522",0.102941176470588,2.83296497789867,2.9454622019245,0.0113952880454438,0.0249008146178217,0.0117284836023281,"4790/3815/5292/207/208/10000/4353",7
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","12/346","157/9522",0.0764331210191083,2.10345716284378,2.70709840523952,0.0118825486866853,0.0257746460483248,0.0121400652216909,"4790/1017/1019/1111/801/207/208/10000/823/824/3105/3576",12
"Organismal Systems","Sensory system","hsa04742","Taste transduction","8/346","86/9522",0.0930232558139535,2.56002150826724,2.82187956868721,0.0126630352027433,0.027267119597148,0.0128430322455791,"259290/2554/3350/3351/3352/3354/2914/6337",8
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","7/346","70/9522",0.1,2.75202312138728,2.85679861275614,0.013253413613808,0.0283315725802417,0.0133443981466259,"2033/3725/5781/7422/207/208/10000",7
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","8/346","91/9522",0.0879120879120879,2.41936098583497,2.64172323991472,0.0173707710107725,0.0368660248070352,0.0173641936646874,"2353/3725/4790/2932/6850/207/208/10000",8
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","3/346","16/9522",0.1875,5.16004335260116,3.23378820309863,0.0187336103787752,0.0394743932981334,0.0185927561654009,"4128/4129/4282",3
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","11/346","148/9522",0.0743243243243243,2.04542259022028,2.48893120685699,0.0189221153710808,0.0395888229394952,0.018646653445186,"2099/2100/2353/3725/1019/2932/1956/3815/207/208/10000",11
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","12/346","168/9522",0.0714285714285714,1.96573080099092,2.45224959006886,0.0193891266450103,0.0399437478159346,0.0188138259115196,"6772/7132/3718/246/817/823/824/5599/5601/834/3553/331",12
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","12/346","168/9522",0.0714285714285714,1.96573080099092,2.45224959006886,0.0193891266450103,0.0399437478159346,0.0188138259115196,"2033/5781/6772/5159/1956/3718/3558/5292/207/208/10000/5771",12
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","9/346","111/9522",0.0810810810810811,2.23137009842212,2.53387295148581,0.0194979650355749,0.0399437478159346,0.0188138259115196,"1017/111/207/208/10000/994/5599/5601/6197",9
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","6/346","59/9522",0.101694915254237,2.79866758107181,2.691008827242,0.0196704585919238,0.0400192088594311,0.0188493686688489,"2932/1956/207/208/10000/842",6
"Organismal Systems","Nervous system","hsa04730","Long-term depression","6/346","60/9522",0.1,2.75202312138728,2.64348357375236,0.0212110344349812,0.0428579120432839,0.0201864206591025,"5582/5593/2890/2891/2892/4842",6
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","4/346","30/9522",0.133333333333333,3.66936416184971,2.84342788116224,0.022267272592968,0.0446860232307861,0.0210474757054907,"9429/4790/4363/3553",4
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","19/346","320/9522",0.059375,1.6340137283237,2.24019160808953,0.0242055184803198,0.0482474861600968,0.0227249533385648,"1545/2033/3065/3066/9759/10014/4318/4790/387/5159/1956/5243/4363/5292/7422/994/4194/5582/6768",19
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","6/346","62/9522",0.0967741935483871,2.66324818198769,2.55129080301835,0.0245327489037227,0.0485715498429408,0.0228775899349445,"1488/2033/3065/3066/6868/9612",6
